venta_id,producto_id,nombre,fecha,cantidad_vendida,precio_unitario,total
37,3,Silla Ergonomica,2026-03-19,3,850000,2550000
38,2,Monitor Samsung 24,2026-03-19,5,1200000,6000000
39,5,Mouse Inalambrico,2026-03-19,4,150000,600000
40,4,Teclado Mecanico,2026-03-20,1,320000,320000
41,2,Monitor Samsung 24,2026-03-20,2,1200000,2400000
42,8,Webcam Full HD,2026-03-20,2,280000,560000
43,5,Mouse Inalambrico,2026-03-20,4,150000,600000
44,1,Laptop HP 14,2026-03-20,5,2350000,11750000
45,1,Laptop HP 14,2026-03-20,1,2350000,2350000
46,4,Teclado Mecanico,2026-03-21,1,320000,320000
47,8,Webcam Full HD,2026-03-21,1,280000,280000
48,5,Mouse Inalambrico,2026-03-21,5,150000,750000
49,8,Webcam Full HD,2026-03-21,3,280000,840000
50,7,Disco SSD 500GB,2026-03-21,3,450000,1350000
51,3,Silla Ergonomica,2026-03-22,1,850000,850000
52,2,Monitor Samsung 24,2026-03-22,3,1200000,3600000
53,7,Disco SSD 500GB,2026-03-23,2,450000,900000
54,5,Mouse Inalambrico,2026-03-23,2,150000,300000
55,1,Laptop HP 14,2026-03-23,3,2350000,7050000
56,6,Cable HDMI 2m,2026-03-23,2,35000,70000
57,7,Disco SSD 500GB,2026-03-23,5,450000,2250000
58,5,Mouse Inalambrico,2026-03-23,5,150000,750000
59,5,Mouse Inalambrico,2026-03-24,1,150000,150000
60,4,Teclado Mecanico,2026-03-24,3,320000,960000
61,2,Monitor Samsung 24,2026-03-25,4,1200000,4800000
62,2,Monitor Samsung 24,2026-03-25,1,1200000,1200000
63,5,Mouse Inalambrico,2026-03-25,5,150000,750000
64,1,Laptop HP 14,2026-03-25,2,2350000,4700000
65,6,Cable HDMI 2m,2026-03-26,5,35000,175000
66,8,Webcam Full HD,2026-03-26,5,280000,1400000
67,2,Monitor Samsung 24,2026-03-26,4,1200000,4800000
68,8,Webcam Full HD,2026-03-27,3,280000,840000
69,7,Disco SSD 500GB,2026-03-27,4,450000,1800000
70,6,Cable HDMI 2m,2026-03-27,3,35000,105000
71,8,Webcam Full HD,2026-03-28,5,280000,1400000
72,4,Teclado Mecanico,2026-03-28,2,320000,640000
73,2,Monitor Samsung 24,2026-03-28,5,1200000,6000000
74,1,Laptop HP 14,2026-03-28,2,2350000,4700000
75,1,Laptop HP 14,2026-03-28,1,2350000,2350000
76,6,Cable HDMI 2m,2026-03-29,1,35000,35000
77,1,Laptop HP 14,2026-03-29,1,2350000,2350000
78,1,Laptop HP 14,2026-03-30,2,2350000,4700000
79,2,Monitor Samsung 24,2026-03-30,5,1200000,6000000
80,6,Cable HDMI 2m,2026-03-30,5,35000,175000
81,2,Monitor Samsung 24,2026-03-30,4,1200000,4800000
82,7,Disco SSD 500GB,2026-03-31,1,450000,450000
83,7,Disco SSD 500GB,2026-03-31,4,450000,1800000
84,2,Monitor Samsung 24,2026-03-31,3,1200000,3600000
85,4,Teclado Mecanico,2026-04-01,1,320000,320000
86,7,Disco SSD 500GB,2026-04-01,4,450000,1800000
87,1,Laptop HP 14,2026-04-01,3,2350000,7050000
88,6,Cable HDMI 2m,2026-04-01,1,35000,35000
89,6,Cable HDMI 2m,2026-04-01,2,35000,70000
90,2,Monitor Samsung 24,2026-04-02,3,1200000,3600000
91,4,Teclado Mecanico,2026-04-02,4,320000,1280000
92,4,Teclado Mecanico,2026-04-02,2,320000,640000
93,4,Teclado Mecanico,2026-04-03,5,320000,1600000
94,7,Disco SSD 500GB,2026-04-03,1,450000,450000
95,6,Cable HDMI 2m,2026-04-04,1,35000,35000
96,5,Mouse Inalambrico,2026-04-04,1,150000,150000
97,2,Monitor Samsung 24,2026-04-05,4,1200000,4800000
98,4,Teclado Mecanico,2026-04-05,1,320000,320000
99,2,Monitor Samsung 24,2026-04-05,2,1200000,2400000
100,1,Laptop HP 14,2026-04-06,5,2350000,11750000
101,4,Teclado Mecanico,2026-04-06,4,320000,1280000
102,8,Webcam Full HD,2026-04-06,2,280000,560000
103,7,Disco SSD 500GB,2026-04-06,2,450000,900000
104,3,Silla Ergonomica,2026-04-06,3,850000,2550000
105,8,Webcam Full HD,2026-04-07,3,280000,840000
106,5,Mouse Inalambrico,2026-04-07,1,150000,150000
107,5,Mouse Inalambrico,2026-04-07,1,150000,150000
108,4,Teclado Mecanico,2026-04-08,1,320000,320000
109,8,Webcam Full HD,2026-04-08,5,280000,1400000
110,5,Mouse Inalambrico,2026-04-08,1,150000,150000
111,1,Laptop HP 14,2026-04-08,2,2350000,4700000
112,5,Mouse Inalambrico,2026-04-08,4,150000,600000
113,7,Disco SSD 500GB,2026-04-08,1,450000,450000
114,2,Monitor Samsung 24,2026-04-09,3,1200000,3600000
115,5,Mouse Inalambrico,2026-04-09,2,150000,300000
116,5,Mouse Inalambrico,2026-04-09,3,150000,450000
117,4,Teclado Mecanico,2026-04-09,2,320000,640000
118,5,Mouse Inalambrico,2026-04-09,3,150000,450000
119,5,Mouse Inalambrico,2026-04-09,4,150000,600000
120,6,Cable HDMI 2m,2026-04-10,1,35000,35000
121,3,Silla Ergonomica,2026-04-10,1,850000,850000
122,3,Silla Ergonomica,2026-04-10,4,850000,3400000
123,8,Webcam Full HD,2026-04-11,1,280000,280000
124,8,Webcam Full HD,2026-04-11,2,280000,560000
125,1,Laptop HP 14,2026-04-11,3,2350000,7050000
126,2,Monitor Samsung 24,2026-04-11,3,1200000,3600000
127,3,Silla Ergonomica,2026-04-11,2,850000,1700000
128,8,Webcam Full HD,2026-04-11,4,280000,1120000
129,6,Cable HDMI 2m,2026-04-12,3,35000,105000
130,5,Mouse Inalambrico,2026-04-12,1,150000,150000
131,8,Webcam Full HD,2026-04-12,2,280000,560000
132,6,Cable HDMI 2m,2026-04-12,3,35000,105000
133,1,Laptop HP 14,2026-04-12,1,2350000,2350000
134,7,Disco SSD 500GB,2026-04-12,1,450000,450000
135,2,Monitor Samsung 24,2026-04-13,5,1200000,6000000
136,3,Silla Ergonomica,2026-04-13,4,850000,3400000
137,2,Monitor Samsung 24,2026-04-13,3,1200000,3600000
138,3,Silla Ergonomica,2026-04-13,1,850000,850000
139,6,Cable HDMI 2m,2026-04-13,1,35000,35000
140,7,Disco SSD 500GB,2026-04-13,4,450000,1800000
141,1,Laptop HP 14,2026-04-14,2,2350000,4700000
142,3,Silla Ergonomica,2026-04-14,4,850000,3400000
143,2,Monitor Samsung 24,2026-04-14,5,1200000,6000000
144,8,Webcam Full HD,2026-04-14,4,280000,1120000
145,1,Laptop HP 14,2026-04-15,5,2350000,11750000
146,1,Laptop HP 14,2026-04-15,5,2350000,11750000
147,8,Webcam Full HD,2026-04-15,2,280000,560000
148,8,Webcam Full HD,2026-04-15,4,280000,1120000
149,5,Mouse Inalambrico,2026-04-15,2,150000,300000
150,7,Disco SSD 500GB,2026-04-15,1,450000,450000
151,3,Silla Ergonomica,2026-04-16,3,850000,2550000
152,8,Webcam Full HD,2026-04-16,2,280000,560000
153,8,Webcam Full HD,2026-04-16,2,280000,560000
154,1,Laptop HP 14,2026-04-16,1,2350000,2350000
155,7,Disco SSD 500GB,2026-04-17,2,450000,900000
156,8,Webcam Full HD,2026-04-17,2,280000,560000
157,4,Teclado Mecanico,2026-04-17,2,320000,640000
158,5,Mouse Inalambrico,2026-04-17,2,150000,300000
159,1,Laptop HP 14,2026-04-18,2,2350000,4700000
160,6,Cable HDMI 2m,2026-04-18,3,35000,105000
161,3,Silla Ergonomica,2026-04-18,2,850000,1700000
162,8,Webcam Full HD,2026-04-18,1,280000,280000
163,7,Disco SSD 500GB,2026-04-18,4,450000,1800000
164,7,Disco SSD 500GB,2026-04-19,4,450000,1800000
165,2,Monitor Samsung 24,2026-04-19,3,1200000,3600000
166,7,Disco SSD 500GB,2026-04-20,4,450000,1800000
167,7,Disco SSD 500GB,2026-04-20,3,450000,1350000
168,2,Monitor Samsung 24,2026-04-20,3,1200000,3600000
169,6,Cable HDMI 2m,2026-04-20,1,35000,35000
170,3,Silla Ergonomica,2026-04-21,3,850000,2550000
171,5,Mouse Inalambrico,2026-04-21,1,150000,150000
172,6,Cable HDMI 2m,2026-04-21,1,35000,35000
173,7,Disco SSD 500GB,2026-04-21,3,450000,1350000
174,5,Mouse Inalambrico,2026-04-22,5,150000,750000
175,8,Webcam Full HD,2026-04-22,4,280000,1120000
176,1,Laptop HP 14,2026-04-22,3,2350000,7050000
177,4,Teclado Mecanico,2026-04-23,2,320000,640000
178,8,Webcam Full HD,2026-04-23,3,280000,840000
179,1,Laptop HP 14,2026-04-23,1,2350000,2350000
180,8,Webcam Full HD,2026-04-23,4,280000,1120000
181,5,Mouse Inalambrico,2026-04-24,2,150000,300000
182,7,Disco SSD 500GB,2026-04-24,3,450000,1350000
183,1,Laptop HP 14,2026-04-25,3,2350000,7050000
184,6,Cable HDMI 2m,2026-04-25,5,35000,175000
185,3,Silla Ergonomica,2026-04-25,3,850000,2550000
186,3,Silla Ergonomica,2026-04-25,4,850000,3400000
187,7,Disco SSD 500GB,2026-04-25,3,450000,1350000
188,6,Cable HDMI 2m,2026-04-26,2,35000,70000
189,5,Mouse Inalambrico,2026-04-26,5,150000,750000
190,2,Monitor Samsung 24,2026-04-26,5,1200000,6000000
191,6,Cable HDMI 2m,2026-04-26,3,35000,105000
192,4,Teclado Mecanico,2026-04-26,4,320000,1280000
193,7,Disco SSD 500GB,2026-04-27,4,450000,1800000
194,3,Silla Ergonomica,2026-04-27,4,850000,3400000
195,2,Monitor Samsung 24,2026-04-27,2,1200000,2400000
196,7,Disco SSD 500GB,2026-04-27,5,450000,2250000
197,5,Mouse Inalambrico,2026-04-27,4,150000,600000
198,3,Silla Ergonomica,2026-04-27,2,850000,1700000
199,3,Silla Ergonomica,2026-04-28,5,850000,4250000
200,6,Cable HDMI 2m,2026-04-28,3,35000,105000
201,7,Disco SSD 500GB,2026-04-29,3,450000,1350000
202,7,Disco SSD 500GB,2026-04-29,2,450000,900000
203,2,Monitor Samsung 24,2026-04-30,5,1200000,6000000
204,1,Laptop HP 14,2026-04-30,1,2350000,2350000
205,8,Webcam Full HD,2026-04-30,4,280000,1120000
206,8,Webcam Full HD,2026-05-01,2,280000,560000
207,5,Mouse Inalambrico,2026-05-01,1,150000,150000
208,6,Cable HDMI 2m,2026-05-01,1,35000,35000
209,4,Teclado Mecanico,2026-05-01,4,320000,1280000
210,4,Teclado Mecanico,2026-05-01,2,320000,640000
211,7,Disco SSD 500GB,2026-05-02,5,450000,2250000
212,6,Cable HDMI 2m,2026-05-02,2,35000,70000
213,4,Teclado Mecanico,2026-05-02,1,320000,320000
214,2,Monitor Samsung 24,2026-05-03,4,1200000,4800000
215,4,Teclado Mecanico,2026-05-03,5,320000,1600000
216,5,Mouse Inalambrico,2026-05-03,5,150000,750000
217,5,Mouse Inalambrico,2026-05-03,4,150000,600000
218,3,Silla Ergonomica,2026-05-03,5,850000,4250000
219,8,Webcam Full HD,2026-05-04,3,280000,840000
220,6,Cable HDMI 2m,2026-05-04,5,35000,175000
221,4,Teclado Mecanico,2026-05-04,4,320000,1280000
222,3,Silla Ergonomica,2026-05-04,2,850000,1700000
223,2,Monitor Samsung 24,2026-05-04,3,1200000,3600000
224,1,Laptop HP 14,2026-05-05,2,2350000,4700000
225,3,Silla Ergonomica,2026-05-05,2,850000,1700000
226,3,Silla Ergonomica,2026-05-05,2,850000,1700000
227,3,Silla Ergonomica,2026-05-05,4,850000,3400000
228,5,Mouse Inalambrico,2026-05-05,2,150000,300000
229,1,Laptop HP 14,2026-05-06,4,2350000,9400000
230,4,Teclado Mecanico,2026-05-06,1,320000,320000
231,5,Mouse Inalambrico,2026-05-06,2,150000,300000
232,4,Teclado Mecanico,2026-05-07,5,320000,1600000
233,7,Disco SSD 500GB,2026-05-07,4,450000,1800000
234,8,Webcam Full HD,2026-05-07,4,280000,1120000
235,1,Laptop HP 14,2026-05-07,1,2350000,2350000
236,8,Webcam Full HD,2026-05-07,3,280000,840000
237,7,Disco SSD 500GB,2026-05-08,5,450000,2250000
238,7,Disco SSD 500GB,2026-05-08,5,450000,2250000
239,8,Webcam Full HD,2026-05-08,2,280000,560000
240,4,Teclado Mecanico,2026-05-08,4,320000,1280000
241,3,Silla Ergonomica,2026-05-09,4,850000,3400000
242,4,Teclado Mecanico,2026-05-09,2,320000,640000
243,4,Teclado Mecanico,2026-05-09,4,320000,1280000
244,8,Webcam Full HD,2026-05-10,5,280000,1400000
245,5,Mouse Inalambrico,2026-05-10,5,150000,750000
246,8,Webcam Full HD,2026-05-10,1,280000,280000
247,6,Cable HDMI 2m,2026-05-11,4,35000,140000
248,2,Monitor Samsung 24,2026-05-11,2,1200000,2400000
249,3,Silla Ergonomica,2026-05-12,4,850000,3400000
250,3,Silla Ergonomica,2026-05-12,3,850000,2550000
251,7,Disco SSD 500GB,2026-05-13,3,450000,1350000
252,4,Teclado Mecanico,2026-05-13,1,320000,320000
253,7,Disco SSD 500GB,2026-05-13,4,450000,1800000
254,7,Disco SSD 500GB,2026-05-13,1,450000,450000
255,1,Laptop HP 14,2026-05-14,1,2350000,2350000
256,8,Webcam Full HD,2026-05-14,2,280000,560000
257,2,Monitor Samsung 24,2026-05-14,2,1200000,2400000
258,1,Laptop HP 14,2026-05-14,1,2350000,2350000
259,8,Webcam Full HD,2026-05-14,5,280000,1400000
260,1,Laptop HP 14,2026-05-14,2,2350000,4700000
261,2,Monitor Samsung 24,2026-05-15,2,1200000,2400000
262,6,Cable HDMI 2m,2026-05-15,4,35000,140000
263,5,Mouse Inalambrico,2026-05-15,3,150000,450000
264,2,Monitor Samsung 24,2026-05-16,2,1200000,2400000
265,5,Mouse Inalambrico,2026-05-16,3,150000,450000
266,6,Cable HDMI 2m,2026-05-16,1,35000,35000
267,1,Laptop HP 14,2026-05-16,5,2350000,11750000
268,8,Webcam Full HD,2026-05-17,4,280000,1120000
269,5,Mouse Inalambrico,2026-05-17,4,150000,600000
270,1,Laptop HP 14,2026-05-18,1,2350000,2350000
271,6,Cable HDMI 2m,2026-05-18,3,35000,105000
272,6,Cable HDMI 2m,2026-05-18,5,35000,175000
273,7,Disco SSD 500GB,2026-05-19,1,450000,450000
274,5,Mouse Inalambrico,2026-05-19,3,150000,450000
275,4,Teclado Mecanico,2026-05-20,1,320000,320000
276,3,Silla Ergonomica,2026-05-20,4,850000,3400000
277,5,Mouse Inalambrico,2026-05-20,3,150000,450000
278,3,Silla Ergonomica,2026-05-20,4,850000,3400000
279,7,Disco SSD 500GB,2026-05-20,2,450000,900000
280,7,Disco SSD 500GB,2026-05-20,4,450000,1800000
281,6,Cable HDMI 2m,2026-05-21,5,35000,175000
282,8,Webcam Full HD,2026-05-21,4,280000,1120000
283,3,Silla Ergonomica,2026-05-21,4,850000,3400000
284,7,Disco SSD 500GB,2026-05-22,3,450000,1350000
285,5,Mouse Inalambrico,2026-05-22,4,150000,600000
286,3,Silla Ergonomica,2026-05-22,2,850000,1700000
287,2,Monitor Samsung 24,2026-05-22,4,1200000,4800000
288,8,Webcam Full HD,2026-05-22,5,280000,1400000
289,6,Cable HDMI 2m,2026-05-23,3,35000,105000
290,3,Silla Ergonomica,2026-05-23,3,850000,2550000
291,4,Teclado Mecanico,2026-05-23,3,320000,960000
292,3,Silla Ergonomica,2026-05-23,5,850000,4250000
293,4,Teclado Mecanico,2026-05-23,3,320000,960000
294,3,Silla Ergonomica,2026-05-23,5,850000,4250000
295,5,Mouse Inalambrico,2026-05-24,2,150000,300000
296,2,Monitor Samsung 24,2026-05-24,4,1200000,4800000
297,5,Mouse Inalambrico,2026-05-25,1,150000,150000
298,2,Monitor Samsung 24,2026-05-25,1,1200000,1200000
299,4,Teclado Mecanico,2026-05-25,3,320000,960000
300,6,Cable HDMI 2m,2026-05-25,2,35000,70000
301,4,Teclado Mecanico,2026-05-25,4,320000,1280000
302,3,Silla Ergonomica,2026-05-26,5,850000,4250000
303,5,Mouse Inalambrico,2026-05-26,3,150000,450000
304,4,Teclado Mecanico,2026-05-26,4,320000,1280000
305,3,Silla Ergonomica,2026-05-27,1,850000,850000
306,6,Cable HDMI 2m,2026-05-27,5,35000,175000
307,3,Silla Ergonomica,2026-05-27,2,850000,1700000
308,3,Silla Ergonomica,2026-05-27,2,850000,1700000
309,1,Laptop HP 14,2026-05-27,2,2350000,4700000
310,2,Monitor Samsung 24,2026-05-27,4,1200000,4800000
311,6,Cable HDMI 2m,2026-05-28,1,35000,35000
312,8,Webcam Full HD,2026-05-28,2,280000,560000
313,5,Mouse Inalambrico,2026-05-28,3,150000,450000
314,3,Silla Ergonomica,2026-05-28,2,850000,1700000
315,2,Monitor Samsung 24,2026-05-29,1,1200000,1200000
316,1,Laptop HP 14,2026-05-29,5,2350000,11750000
317,5,Mouse Inalambrico,2026-05-29,3,150000,450000
318,3,Silla Ergonomica,2026-05-29,2,850000,1700000
319,1,Laptop HP 14,2026-05-30,1,2350000,2350000
320,1,Laptop HP 14,2026-05-30,3,2350000,7050000
321,3,Silla Ergonomica,2026-05-30,4,850000,3400000
322,4,Teclado Mecanico,2026-05-30,1,320000,320000
323,3,Silla Ergonomica,2026-05-30,1,850000,850000
324,4,Teclado Mecanico,2026-05-31,3,320000,960000
325,5,Mouse Inalambrico,2026-05-31,1,150000,150000
326,6,Cable HDMI 2m,2026-05-31,2,35000,70000
327,2,Monitor Samsung 24,2026-05-31,1,1200000,1200000
328,7,Disco SSD 500GB,2026-05-31,5,450000,2250000
329,5,Mouse Inalambrico,2026-06-01,4,150000,600000
330,7,Disco SSD 500GB,2026-06-01,3,450000,1350000
331,2,Monitor Samsung 24,2026-06-01,5,1200000,6000000
332,5,Mouse Inalambrico,2026-06-01,4,150000,600000
333,4,Teclado Mecanico,2026-06-01,3,320000,960000
334,5,Mouse Inalambrico,2026-06-02,1,150000,150000
335,5,Mouse Inalambrico,2026-06-02,2,150000,300000
336,6,Cable HDMI 2m,2026-06-02,2,35000,70000
337,8,Webcam Full HD,2026-06-02,2,280000,560000
338,2,Monitor Samsung 24,2026-06-02,5,1200000,6000000
339,2,Monitor Samsung 24,2026-06-02,1,1200000,1200000
340,1,Laptop HP 14,2026-06-03,3,2350000,7050000
341,4,Teclado Mecanico,2026-06-03,1,320000,320000
342,5,Mouse Inalambrico,2026-06-03,2,150000,300000
343,6,Cable HDMI 2m,2026-06-04,3,35000,105000
344,6,Cable HDMI 2m,2026-06-04,5,35000,175000
345,4,Teclado Mecanico,2026-06-04,2,320000,640000
346,6,Cable HDMI 2m,2026-06-04,4,35000,140000
347,5,Mouse Inalambrico,2026-06-05,3,150000,450000
348,6,Cable HDMI 2m,2026-06-05,2,35000,70000
349,1,Laptop HP 14,2026-06-06,5,2350000,11750000
350,7,Disco SSD 500GB,2026-06-06,5,450000,2250000
